date,forecast,lower_95,upper_95
2025-03-28,0.0003363996140564318,-0.006598856771723179,0.007271655999836079
2025-03-31,1.7711725985023386e-05,-0.00696018285616248,0.006995606308132582
2025-04-01,0.00021857935432619433,-0.006759662060340103,0.007196820768992534
2025-04-02,0.00047436939321882245,-0.0065038779519412185,0.007452616738378882
2025-04-03,-0.0002527688960383219,-0.007231016342654998,0.006725478550578324
2025-04-04,0.00021877883483890944,-0.006836887916174068,0.007274445585851936
2025-04-07,2.2570636654015547e-05,-0.0070343971889143,0.0070795384622223505
2025-04-08,0.0002179439644260213,-0.006839046135884664,0.0072749340647367475
2025-04-09,0.0004744524818682727,-0.006582537999344615,0.00753144296308118
2025-04-10,-0.00025277976137258955,-0.007309770249142762,0.006804210726397517
2025-04-11,0.00021878025567663353,-0.006913272185820664,0.007350832697174015
2025-04-14,2.257045085395848e-05,-0.00711074459268984,0.0071558854943977405
2025-04-15,0.00021794398872272152,-0.006915392672183962,0.007351280649629482
2025-04-16,0.0004744524786910457,-0.006658884551876669,0.0076077895092587795
2025-04-17,-0.00025277976095711477,-0.007386116797889897,0.006880557275975603
2025-04-18,0.0002187802556223071,-0.006987449964711846,0.007425010475956508
2025-04-21,2.257045086104607e-05,-0.007184886876212939,0.007230027777935084
2025-04-22,0.0002179439887218001,-0.006989534349179226,0.0074254223266228304
2025-04-23,0.0004744524786911521,-0.006733026218499094,0.007681931175881417
2025-04-24,-0.00025277976095715017,-0.007460258464335063,0.006954698942420734
2025-04-25,0.0002187802556223071,-0.007059600648065337,0.007497161159310034
